up_id,dn_id,region,facc_up,facc_dn,facc_drop,drop_pct,wse_up,wse_dn,river_name,severity
81181500091,81181500201,NA,245550.1819,149142.9545,96407.2274,39.26172102746058,3.200000047683716,3.200000047683716,Kuskokwim River,Moderate (25-50%)
81210500041,81210500551,NA,1519632.0088,1325636.4332,193995.57559999987,12.765957447368548,6.300000190734863,6.300000190734863,Center Slough,Minor (10-25%)
82100700475,82100700455,NA,143929.4118,96203.4711,47725.94070000001,33.15926891045629,1.200000047683716,1.200000047683716,Hvatum Channel - Mackenzie River,Moderate (25-50%)
82100900285,82100900785,NA,135222.8797,91353.1438,43869.735899999985,32.44253930793931,0.600000023841858,0.600000023841858,NODATA,Moderate (25-50%)
82253000053,82253000143,NA,7424934.572,1512204.1232,5912730.448799999,79.63343503520369,156.0,156.0,NODATA,Major (50-90%)
82270000391,82270000491,NA,2094849.6681,1008701.8249,1086147.8432,51.848486301411846,206.0,206.0,Slave River,Major (50-90%)
82285000341,82283000191,NA,137407.5598,41242.247,96165.31279999999,69.98545999941409,209.3000030517578,210.10000610351562,Athabasca River,Major (50-90%)
61207000111,61207000691,SA,173438.1886,153856.4577,19581.730899999995,11.290322539726985,40.400001525878906,36.29999923706055,Magdalena,Minor (10-25%)
61207000741,61207000731,SA,8893.6245,1660.0339,7233.5905999999995,81.33456275335213,43.5,43.5,Rio Boque,Major (50-90%)
61308000125,61308000375,SA,223902.6439,102509.6442,121392.9997,54.21686746772713,0.900000035762787,2.700000047683716,NODATA,Major (50-90%)
61309000165,61309002175,SA,2325903.7495,125098.4088,2200805.3407,94.62151394584181,0.600000023841858,0.600000023841858,Orinoco,Extreme (>90%)
61545000051,61545000081,SA,66819.5454,33546.5177,33273.027700000006,49.795351795374536,50.20000076293945,49.5,NODATA,Moderate (25-50%)
61595000261,61595000731,SA,67367.3936,38945.3943,28421.999299999996,42.18954865429141,104.9000015258789,104.70000457763672,Guaviare,Moderate (25-50%)
61650800893,61650801621,SA,16.643766403198242,14.8385,1.8052664031982424,10.846501683965865,42.20000076293945,42.20000076293945,NODATA,Minor (10-25%)
62270000131,62270000431,SA,37219311.8138,4192869.4125,33026442.4013,88.73469387753326,11.100000381469727,12.800000190734863,Amazon river,Major (50-90%)
62292100241,62292103041,SA,894707.0373,466268.0264,428439.0109,47.88595518293013,20.650001525878906,20.100000381469727,NODATA,Moderate (25-50%)
62293200111,62293200921,SA,4177.154,1683.3307,2493.8233000000005,59.701492930354014,18.700000762939453,19.30000114440918,NODATA,Major (50-90%)
62294102441,62293800861,SA,37393.5814,17266.2969,20127.2845,53.82550626723334,27.399999618530273,27.399999618530273,NODATA,Major (50-90%)
62293900131,62293900401,SA,9072608.3722,444897.9182,8627710.454,95.09625126591773,20.80000114440918,20.200000762939453,Amazon river,Extreme (>90%)
62294100371,62294102511,SA,802885.5756,71406.3093,731479.2663,91.10629067577435,33.0,34.0,NODATA,Extreme (>90%)
62294101541,62294102581,SA,875.8882446289062,340.1508,535.7374446289062,61.165045645279314,40.20000076293945,40.20000076293945,NODATA,Major (50-90%)
62297700111,62297701001,SA,3225980.7551,375842.4181,2850138.3370000003,88.34951456217384,64.70000457763672,64.80000305175781,NODATA,Major (50-90%)
62457000021,62457000051,SA,788091.7298,195657.8399,592433.8899,75.17321493150885,158.10000610351562,158.10000610351562,Araguaia River,Major (50-90%)
62460100021,62459000211,SA,152041.9769,44006.1738,108035.80310000002,71.05656299842548,165.60000610351562,165.60000610351562,Araguaia River,Major (50-90%)
62500600105,62500600945,SA,73126.8509,36963.3708,36163.48010000001,49.45308003137327,0.0,0.0,NODATA,Moderate (25-50%)
65321000421,65321000744,SA,178042.4029,82020.6495,96021.75339999999,53.93195768871528,138.10000610351562,136.14999389648438,NODATA,Major (50-90%)
23250600024,23250601185,EU,7296.3691,3374.5707,3921.7983999999997,53.75000011992266,0.5,0.5,La Meuse,Major (50-90%)
23250601361,23250601284,EU,3872.9027,1876.35,1996.5527000000002,51.55184249787634,5.900000095367432,3.700000047683716,NODATA,Major (50-90%)
26181000685,26181000795,EU,119068.4973,7793.5744,111274.9229,93.45454542828098,0.400000005960464,0.400000005960464,NODATA,Extreme (>90%)
26187000131,26187000721,EU,278482.5939,66725.5324,211757.06149999998,76.03960396032492,26.80000114440918,25.80000114440918,NODATA,Major (50-90%)
28299000645,28299001365,EU,178438.0305,151218.67,27219.36049999998,15.254237240642476,-25.30000114440918,-24.100000381469727,NODATA,Minor (10-25%)
28311800021,28311800011,EU,275456.9322,209572.662,65884.27019999997,23.918174675728846,-16.600000381469727,-16.899999618530273,NODATA,Minor (10-25%)
28311800111,28311800131,EU,276566.7586,147754.8436,128811.91500000001,46.575342478631484,-14.300000190734863,-14.300000190734863,NODATA,Moderate (25-50%)
29473000011,29471000241,EU,339258.8982,231176.4174,108082.48079999999,31.85840706712523,2.5,2.5,NODATA,Moderate (25-50%)
14277801401,14277801201,AF,136801.1847,61385.147,75416.03770000002,55.128205114147676,261.70001220703125,262.8000183105469,NODATA,Major (50-90%)
14279000301,14279001331,AF,348758.7732,54547.9612,294210.812,84.35940099814526,260.5,260.5,Niger River,Major (50-90%)
14279000341,14279001511,AF,562873.0587,172140.7898,390732.2689,69.41747572755163,260.5,262.70001220703125,Niger River,Major (50-90%)
14279000181,14279001581,AF,106539.3296,15117.067,91422.2626,85.81081084632619,264.5,267.5,Diaka,Major (50-90%)
14301002095,14301002645,AF,14.6109,5.3012,9.309700000000001,63.71749857982739,0.600000023841858,1.100000023841858,NODATA,Major (50-90%)
17219500041,17219500091,AF,6551922.4955,5421816.7673,1130105.7281999998,17.248459959289512,307.20001220703125,306.8999938964844,Nile River,Minor (10-25%)
17219700061,17219700081,AF,6505220.7793,4464412.5624,2040808.2168999994,31.371851719375503,334.70001220703125,329.20001220703125,Nile River,Moderate (25-50%)
17270900021,17270900071,AF,3220304.0272,1254663.9067,1965640.1205,61.03896103900137,388.0,388.0,White Nile,Major (50-90%)
17293000151,17293000281,AF,786617.9207,402996.3731,383621.5476,48.768472914858165,613.9000244140625,613.9000244140625,Albert Nile,Moderate (25-50%)
18160200041,18160200781,AF,15608.0452,6046.0638,9561.9814,61.263158053899026,61.10000228881836,55.70000076293945,Mahajilo,Major (50-90%)
18170800921,18170800861,AF,13541.7665,6770.8833,6770.883199999999,49.999999630771946,23.0,19.80000114440918,NODATA,Moderate (25-50%)
18192001365,18192001425,AF,24501.6955,12349.2441,12152.451400000002,49.598410036562576,1.200000047683716,1.200000047683716,NODATA,Moderate (25-50%)
31109000535,31109001155,AS,585567.8937,48349.6426,537218.2511,91.74311926589837,1.300000071525574,1.300000071525574,NODATA,Extreme (>90%)
31210600041,31210600191,AS,4090.700969962958,1712.8985,2377.8024699629577,58.1270175312885,4.5,4.5,NODATA,Major (50-90%)
31210400591,31210600211,AS,12406.8134,4962.7253,7444.088099999999,60.00000048360524,4.700000286102295,4.900000095367432,NODATA,Major (50-90%)
31221000311,31221001031,AS,291208.9516,33974.3777,257234.57389999996,88.33333332875472,6.700000286102295,6.700000286102295,NODATA,Major (50-90%)
31223000961,31223000921,AS,992242.3325,590766.2162,401476.1163,40.46149848177335,11.199999809265137,11.199999809265137,NODATA,Moderate (25-50%)
31223000131,31233000641,AS,19569952.6111,5931480.7341,13638471.877,69.69087839928807,9.700000286102295,8.5,Ob River,Major (50-90%)
31241401101,31241500311,AS,4840756.9211,2881755.2224,1959001.6987,40.46891282974899,27.899999618530273,25.399999618530273,NODATA,Moderate (25-50%)
31241700381,31241700371,AS,3392850.3851,670693.4713,2722156.9138,80.23215305203527,31.200000762939453,31.100000381469727,NODATA,Major (50-90%)
31320100375,31320100685,AS,88122.5554,25793.5866,62328.9688,70.72986991478007,2.0,1.800000071525574,Nadym River,Major (50-90%)
31370000495,31370000485,AS,83409.4892,61221.7433,22187.745899999994,26.600985226990208,1.899999976158142,1.899999976158142,NODATA,Moderate (25-50%)
32100500291,32100501171,AS,2174.529,1090.1333,1084.3957,49.86807258031509,1.899999976158142,1.899999976158142,NODATA,Moderate (25-50%)
33121000393,33121000945,AS,506.6717,201.4765,305.1952,60.23529634672708,1.100000023841858,1.300000071525574,NODATA,Major (50-90%)
33121000075,33121001085,AS,406307.3831,92239.363,314068.02009999997,77.29813268559333,1.300000071525574,1.300000071525574,NODATA,Major (50-90%)
33162000171,33162000991,AS,37210.4412,18605.2206,18605.2206,50.0,4.400000095367432,50.5,NODATA,Moderate (25-50%)
34100004245,34100006355,AS,878702.9198,438990.306,439712.61380000005,50.04110079662444,0.400000005960464,0.0,NODATA,Major (50-90%)
34100004905,34100006365,AS,2160386.8286,633320.2934,1527066.5352000003,70.68486601492513,1.800000071525574,1.5,NODATA,Major (50-90%)
34100004485,34100006975,AS,19865571.8577,13914991.9716,5950579.886100002,29.95423403224874,2.400000095367432,1.399999976158142,NODATA,Moderate (25-50%)
34211100815,34211101355,AS,22404830.9115,13714472.2549,8690358.6566,38.78787878795994,2.700000047683716,1.899999976158142,NODATA,Moderate (25-50%)
34211700101,34211700341,AS,333810459.2192,17440063.782,316370395.4372,94.77545915643469,14.699999809265137,14.699999809265137,Lena River,Extreme (>90%)
34230900031,34230500301,AS,874140.4292,29628.1352,844512.294,96.61059777007279,70.0999984741211,72.5999984741211,Lena River,Extreme (>90%)
35121100295,35121200225,AS,17720.1756,11813.4504,5906.725199999999,33.33333333333333,3.299999952316284,2.900000095367432,NODATA,Moderate (25-50%)
35136700011,35136600231,AS,8456.05859375,5746.836,2709.2225937499998,32.03883421234128,8.199999809265137,8.699999809265137,Berelyakh,Moderate (25-50%)
35139000955,35139001185,AS,295176.8165,104114.1995,191062.61700000003,64.7281921613922,1.700000047683716,2.5,NODATA,Major (50-90%)
35141300065,35141300825,AS,103874.7226,43858.2162,60016.50639999999,57.77777778633509,4.900000095367432,4.300000190734863,NODATA,Major (50-90%)
35141300895,35141300845,AS,957.5364,419.8846,537.6518,56.14948946066176,3.600000143051147,3.600000143051147,NODATA,Major (50-90%)
35141300075,35141300865,AS,137313.8457,33439.123,103874.72270000001,75.6476684273653,4.700000286102295,4.700000286102295,NODATA,Major (50-90%)
35141300095,35141301005,AS,508779.3179,27841.9952,480937.3227,94.52768730558495,4.700000286102295,4.700000286102295,NODATA,Extreme (>90%)
35141500011,35141301091,AS,939190.9851,61278.2287,877912.7564000001,93.47542409667876,4.900000095367432,6.300000190734863,Indigirka River,Extreme (>90%)
35141500241,35141500881,AS,5941.8396,5056.5875,885.2521000000006,14.898619949283058,6.700000286102295,6.700000286102295,Allaikha River,Minor (10-25%)
35141500881,35141500911,AS,5056.5875,4024.405,1032.1824999999994,20.41263005930382,6.700000286102295,6.400000095367432,Allaikha River,Minor (10-25%)
35141700091,35141700271,AS,924767.8037,44592.707,880175.0967,95.17795636682155,14.90000057220459,17.30000114440918,Indigirka River,Extreme (>90%)
35170900095,35170900535,AS,846.2769,441.7462,404.53069999999997,47.801222035010056,2.0,0.699999988079071,NODATA,Moderate (25-50%)
35183000261,35183000481,AS,1831026.6227,148336.334,1682690.2887,91.89873417671744,4.5,4.700000286102295,NODATA,Extreme (>90%)
35185200031,35185200771,AS,40540.0502,19876.4324,20663.617799999996,50.970873736115884,12.600000381469727,12.40000057220459,NODATA,Major (50-90%)
35194001521,35194001831,AS,1383.572265625,804.4025,579.169765625,41.86046367179615,21.399999618530273,9.40000057220459,NODATA,Moderate (25-50%)
35412400151,35412401271,AS,15060.3169,5406.2676,9654.049299999999,64.1025641366152,13.0,8.100000381469727,NODATA,Major (50-90%)
